name,longitude,latitude,temperature,temp_max,temp_min
Mumbai,72.8479,19.0144,304.14,304.14,303.09
Kolkata,88.3697,22.5697,304.12,306.5,304.12
Delhi,77.2167,28.6667,315.2,315.2,315.2
Chennai,80.2785,13.0878,305.91,308.14,305.91
Bengaluru,77.6033,12.9762,292.95,294.05,292.95
Hyderabad,78.4744,17.3753,302.38,304.88,302.38
Kolkata,88.3697,22.5697,304.12,306.5,304.12
Pune,73.8553,18.5196,305.77,305.77,305.77
Lucknow,80.9167,26.85,314.14,314.14,314.14
Kanpur,80.35,26.4667,317.02,317.02,317.02
Indore,75.8333,22.7179,312.38,312.38,312.38
Patna,85.1167,25.6,316.76,316.76,316.76
Chandigarh,76.7933,30.7343,315.47,315.47,315.47
Shimla,77.1667,31.1,301.97,301.97,301.97
Trivandrum,76.9167,8.4833,299.14,299.14,299.14
Bhopal,77.4,23.2667,313.28,313.28,313.28
Mumbai,72.8479,19.0144,304.14,304.14,303.09
Srinagar,74.8167,34.0833,290.23,290.23,290.23
Shillong,91.8831,25.5689,291.99,291.99,291.99
Jaipur,75.8167,26.9167,316.77,316.77,316.77
Mumbai,72.8479,19.0144,304.14,304.14,303.09
Kolkata,88.3697,22.5697,304.12,306.5,304.12
Delhi,77.2167,28.6667,315.2,315.2,315.2
Chennai,80.2785,13.0878,305.91,308.14,305.91
Bengaluru,77.6033,12.9762,292.95,294.05,292.95
Hyderabad,78.4744,17.3753,302.38,304.88,302.38
Kolkata,88.3697,22.5697,304.12,306.5,304.12
Pune,73.8553,18.5196,305.77,305.77,305.77
Lucknow,80.9167,26.85,314.14,314.14,314.14
Kanpur,80.35,26.4667,317.02,317.02,317.02
Indore,75.8333,22.7179,312.38,312.38,312.38
Patna,85.1167,25.6,316.76,316.76,316.76
Chandigarh,76.7933,30.7343,315.47,315.47,315.47
Shimla,77.1667,31.1,301.97,301.97,301.97
Trivandrum,76.9167,8.4833,299.14,299.14,299.14
Bhopal,77.4,23.2667,313.28,313.28,313.28
Mumbai,72.8479,19.0144,304.14,304.14,303.09
Srinagar,74.8167,34.0833,290.23,290.23,290.23
Shillong,91.8831,25.5689,291.99,291.99,291.99
Jaipur,75.8167,26.9167,316.77,316.77,316.77
